CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Valor;Valor_Justo;Percentual_Valorizacao_Desvalorizacao
17.329.029/0001-14;2016-12-01;1;FII SP DOWNTCI  ER;917776;S;0.00870226687359748
17.329.029/0001-14;2016-12-01;1;FII TRXE CORCI;396164.32;S;-0.00746817016182715
17.329.029/0001-14;2016-12-01;1;FII XP MACAECI  ER;2969435.7;S;0.0394076759691729
17.331.883/0001-15;2016-12-01;1;Terminal Integrador de Santa Luzia;63950046.96;N;0.1183
17.365.105/0001-47;2016-12-01;1;Edifício Tower Bridge Corporate;627625000;S;-0.1296
17.374.696/0001-19;2016-12-01;1;Imóvel Edificio Domo Corporate;150000000;S;-0.106
17.554.274/0001-25;2016-12-01;1;IMOVEIS;305737013.23;S;0.1025
17.568.605/0001-86;2016-12-01;2;MAIS SHOPPING;235933000;S;0.0797
17.590.518/0001-25;2016-12-01;1;Shopping Bonsucesso;75701000;N;0
17.590.518/0001-25;2016-12-01;1;Parque Shopping Maia;155417000;N;0
17.655.102/0001-48;2016-12-01;1;IMOVEIS;10310357.77;S;0.3191
17.655.115/0001-17;2016-12-01;1;IMOVEIS;91194140.31;S;0.2439
17.655.122/0001-19;2016-12-01;1;FERNANDOPOLIS LT 01;49000;S;0.1683
17.655.122/0001-19;2016-12-01;1;FERNANDOPOLIS LT 6E8;184000;S;0.0967
17.655.122/0001-19;2016-12-01;1;FERNANDOPOLIS LT 1E3;276000;S;0.0967
17.655.122/0001-19;2016-12-01;1;FERNANDOPOLIS FZ COR;390000;S;0.1001
17.655.122/0001-19;2016-12-01;1;TAQUARITINGA/PROD.M;420000;S;0.0971
17.655.122/0001-19;2016-12-01;1;FERNANDOPOLIS 2480;62000;S;0.0955
17.655.122/0001-19;2016-12-01;1;JALES/AV.PAULO M;143000;S;0.1172
17.655.122/0001-19;2016-12-01;1;BARRETOS / R30, 306;115000;S;0.15
17.655.122/0001-19;2016-12-01;1;SIRP / CH. CANELA 5E6;342000;S;0.1407
17.655.122/0001-19;2016-12-01;1;SIRP / VILLAGE 4 E 5;290000;S;0.1267
17.655.122/0001-19;2016-12-01;1;ITU - SP / LT 32 E 33;240000;S;0.1143
17.655.122/0001-19;2016-12-01;1;SIRP / RUA CILA, 3563;155000;S;0.0955
17.655.122/0001-19;2016-12-01;1;SAL-BA / REITOR M, 113;88000;S;0
17.655.122/0001-19;2016-12-01;1;SAL-BA / ROD.BR 324;1784000;S;0.0975
17.655.122/0001-19;2016-12-01;1;OSASCO / R. VISC. 828;1554000;S;0.0969
17.655.122/0001-19;2016-12-01;1;JAB. DOS GUARARAPES;2550000;S;0
17.655.122/0001-19;2016-12-01;1;S.VICENTE / J F B 960;492000;S;0.0974
17.655.122/0001-19;2016-12-01;1;ITU - SP / RUA MAR;250000;S;0.0702
17.655.122/0001-19;2016-12-01;1;VILAVELHA -ES/ RUA MESTRE GOMES 613;530000;S;0
17.655.122/0001-19;2016-12-01;1;IPORA -GO/ AV. R2 QUADRA 10-A;177000;S;0
17.655.122/0001-19;2016-12-01;1;BH - MG/ RUA DR. ALVARO CAMARGOS, 2076 A;341000;S;-0.0026
17.655.122/0001-19;2016-12-01;1;BARRA MANSA -RJ/ RUA MAURO GRANATO,460;210000;S;-0.0021
17.655.122/0001-19;2016-12-01;1;SAO GONCALO-RJ/ AV. LUCIO TOME FETEIRA,122;281000;S;-0.0026
17.655.122/0001-19;2016-12-01;1;ARARAQUARA-SP/ AV. MIGUEL VOLPE NETO, 36;680000;S;0.1111
17.655.122/0001-19;2016-12-01;1;CAMPINAS-SP/ ROD. DOS BANDEIRANTES, KM 88;150000;S;0
17.655.122/0001-19;2016-12-01;1;CATANDUVA-SP/ RUA MARTINOPOLIS, 440;182000;S;0.0024
17.655.122/0001-19;2016-12-01;1;LORENA-SP/ ROD. PRESIDENTE DUTRA, KM 59,7 CONS 3;117500;S;-0.0001
17.655.122/0001-19;2016-12-01;1;MARILIA-SP/ AV. REPUBLICA,4351;895000;S;0.0008
17.655.122/0001-19;2016-12-01;1;OURINHOS-SP/ AV. COMENDADOR JOSE ZILO,605;255000;S;0.0992
17.655.122/0001-19;2016-12-01;1;RIO CLARO-SP/ RUA A,309;233500;S;0.0014
17.655.122/0001-19;2016-12-01;1;SJRP-SP/ AV. FELICIANO SALLES CUNHA,1362;792500;S;0.0002
17.655.122/0001-19;2016-12-01;1;BARUERI-SP/ RUA MEXICO,33;2125000;S;0.0004
17.655.122/0001-19;2016-12-01;1;PIRACICABA-SP/ ESTRADA C, 50;390000;S;0.3448
17.655.122/0001-19;2016-12-01;1;SALTO-SP/ RUA MARECHAL RONDON,1200;1420000;S;0.0003
17.655.122/0001-19;2016-12-01;1;SANTA BARBARA DÓESTE-SP/ RUA PAPA PIO XIII,310;605000;S;0.0972
17.655.122/0001-19;2016-12-01;1;SAO PAULO-SP/ RUA FORTE DO RIO BRANCO, 479;1378500;S;0.0002
17.655.122/0001-19;2016-12-01;1;SAO VICENTE-SP/R. ANT. PEDRO DE JESUS, L 1 A 9;2686000;S;0.0002
