CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;Letras_Hipotecarias;LCI;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
12.804.013/0001-00;2016-11-01;1;232075.9;1;0;0;232074.9;194059871.35;194059871.35;11880731.99;0;182179139.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1351214.98;0;0;1351214.98;0;21098.58;0;145589663.75;0;0;0;0;0;13733892.64;159344654.97
12.804.013/0001-00;2016-12-01;1;601601.07;1;0;0;601600.07;197317397.78;197317397.78;11880731.99;0;185436665.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;737402.39;0;0;737402.39;0;24987.62;0;145580520.14;0;0;0;0;0;16922816.12;162528323.88
12.834.763/0001-17;2016-10-01;1;3369427.57;;;;3369427.57;27995822.22;0;;;;;;;;;;;;;;;;;;;;;27995822.22;;;;;98720.48;;;98720.48;96378.61;11148.41;;;;;;;;31778.35;139305.37
12.834.763/0001-17;2016-11-01;1;3502318.4;396.46;;;3501921.94;27957798.17;0;;;;;;;;;;;;;;;;;;;;;27957798.17;;;;;141318.49;;;141318.49;113716.53;11174.43;;;;;;;;37404.8;162295.76
12.834.763/0001-17;2016-12-01;1;3653894.51;564.28;;;3653330.23;27645445;0;;;;;;;;;;;;;;;;;;;;;27645445;;;;;0;;;;110645.69;12318.68;;;;;;;;3281920.09;3404884.46
12.927.767/0001-40;2016-10-01;1;1727255.06;11084.65;1716170.41;0;0;163235827.17;163235827.17;163235827.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4600195119.23;0;0;4600195119.23;0;216367.42;0;0;0;0;0;0;0;4693475223.26;4693691590.68
12.927.767/0001-40;2016-11-01;1;943693.63;10766.92;932926.71;0;0;163235827.17;163235827.17;163235827.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4599929221.26;0;0;4599929221.26;0;216867.42;0;0;0;0;0;0;0;4692691353.57;4692908220.99
12.927.767/0001-40;2016-12-01;1;897308.52;20215.79;877092.73;0;0;163235827.17;163235827.17;163235827.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4599605598.36;0;0;4599605598.36;0;216867.42;0;0;0;0;0;0;0;4692695274.72;4692912142.14
12.948.291/0001-23;2016-11-01;1;1177456.43;7287.37;0;0;1170169.06;94200000;94200000;0;94200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;915959.49;857542.56;0;58416.93;46235.27;21952.57;0;0;0;0;0;0;0;2746.13;70933.97
12.948.291/0001-23;2016-12-01;1;1095454.56;3796.06;0;0;1091658.5;94200000;94200000;0;94200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;563480.72;563480.72;0;0;9435.14;21952.61;0;0;0;0;0;0;0;28911.13;60298.88
